ktc_kepler_id,sci_data_set_name,fits,start,end,duration,energy
6197038,KPLR006197038-2012179063303,0061/006197038/kplr006197038-2012179063303_llc.fits,1252.0302,1252.0914,0.0612,36.5685559544398
6197038,KPLR006197038-2009350155506,0061/006197038/kplr006197038-2009350155506_llc.fits,277.797,277.8379,0.0409,36.51935623673448
6197038,KPLR006197038-2012277125453,0061/006197038/kplr006197038-2012277125453_llc.fits,1331.2937,1331.3346,0.0409,36.283157218804575
6367159,KPLR006367159-2010174085026,0063/006367159/kplr006367159-2010174085026_llc.fits,464.8236,465.0688,0.2452,38.51555751283967
6367159,KPLR006367159-2012179063303,0063/006367159/kplr006367159-2012179063303_llc.fits,1198.798,1198.9615,0.1635,37.93635786171197
6367159,KPLR006367159-2013131215648,0063/006367159/kplr006367159-2013131215648_llc.fits,1579.9872,1580.1506,0.1634,38.198339276308246
6367159,KPLR006367159-2011177032512,0063/006367159/kplr006367159-2011177032512_llc.fits,857.8444,858.0078,0.1634,37.977248800917415
6367159,KPLR006367159-2010355172524,0063/006367159/kplr006367159-2010355172524_llc.fits,693.619,693.7824,0.1634,37.62304259488394
6367159,KPLR006367159-2010078095331,0063/006367159/kplr006367159-2010078095331_llc.fits,427.3266,427.4901,0.1634,37.87935583880332
6367159,KPLR006367159-2012179063303,0063/006367159/kplr006367159-2012179063303_llc.fits,1240.6069,1240.75,0.1431,37.70206257512802
6367159,KPLR006367159-2010174085026,0063/006367159/kplr006367159-2010174085026_llc.fits,470.8926,471.0356,0.143,37.57780771554728
6367159,KPLR006367159-2009259160929,0063/006367159/kplr006367159-2009259160929_llc.fits,219.4607,219.5833,0.1226,37.56816389582188
6367159,KPLR006367159-2010174085026,0063/006367159/kplr006367159-2010174085026_llc.fits,535.8538,535.9559,0.1022,37.148483653860445
6367159,KPLR006367159-2011271113734,0063/006367159/kplr006367159-2011271113734_llc.fits,924.3582,924.4399,0.0817,37.143617587761455
6367159,KPLR006367159-2012179063303,0063/006367159/kplr006367159-2012179063303_llc.fits,1217.9247,1217.986,0.0613,36.7911220176355
6367159,KPLR006367159-2013098041711,0063/006367159/kplr006367159-2013098041711_llc.fits,1496.0853,1496.1466,0.0613,36.59807689128624
5471548,KPLR005471548-2012277125453,0054/005471548/kplr005471548-2012277125453_llc.fits,1365.0294,1365.2543,0.2249,37.85817914087217
5471548,KPLR005471548-2012179063303,0054/005471548/kplr005471548-2012179063303_llc.fits,1255.9326,1256.0144,0.0818,36.46585094782016
